id,name,name_jp,name_ko,effect_entry,effect_entry_ko,effect_detail,introduced_generation_id
155,Rattled,びびり,주눅,"The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat.","악, 고스트, 벌레타입 기술로 공격받거나 위협을 받으면 주눅이 들어 스피드가 올라간다.","This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.",5
156,Magic Bounce,マジックミラー,매직미러,The Pokémon reflects status moves instead of getting hit by them.,상대가 쓴 변화 기술을 반사해 그대로 되돌려줄 수 있다.,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.  All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.  A move reflected by this ability or magic coat cannot be reflected back.",5
157,Sap Sipper,そうしょく,초식,"The Pokémon takes no damage when hit by Grass-type moves. Instead, its Attack stat is boosted.",풀타입 기술로 공격받으면 데미지를 받지 않고 공격이 올라간다.,"Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.",5
158,Prankster,いたずらごころ,짓궂은마음,Gives priority to the Pokémon's status moves.,변화 기술을 먼저 쓸 수 있다.,This Pokémon's non-damaging moves have their priority increased by one stage.,5
159,Sand Force,すなのちから,모래의힘,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","날씨가 모래바람일 때 바위타입과 땅타입, 강철타입 기술의 위력이 올라간다.","During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.",5
160,Iron Barbs,てつのトゲ,철가시,The Pokémon's iron barbs damage the attacker if it makes direct contact.,자신에게 접촉한 상대에게 철가시로 데미지를 준다.,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.  This ability functions identically to rough skin.",5
161,Zen Mode,ダルマモード,달마모드,Changes the Pokémon's shape when its HP drops to half or less.,HP가 절반 이하가 되면 모습이 변화한다.,"This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.  This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.",5
162,Victory Star,しょうりのほし,승리의별,Boosts the accuracy of the Pokémon and its allies.,자신과 같은 편의 명중률이 올라간다.,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.",5
163,Turboblaze,ターボブレイズ,터보블레이즈,The Pokémon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.  For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.  Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.  An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.  When this Pokémon enters battle, all participating trainers are notified that it has this ability.  This ability functions identically to mold breaker and teravolt.",5
164,Teravolt,テラボルテージ,테라볼티지,The Pokémon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.  For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.  Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.  An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.  When this Pokémon enters battle, all participating trainers are notified that it has this ability.  This ability functions identically to mold breaker and turboblaze.",5
165,Aroma Veil,アロマベール,아로마베일,Protects the Pokémon and its allies from effects that prevent the use of moves.,자신과 같은 편으로 향하는 멘탈 공격을 막을 수 있다.,Protects allies against moves that affect their mental state.,6
166,Flower Veil,フラワーベール,플라워베일,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.,같은 편의 풀타입 포켓몬은 능력이 떨어지지 않고 상태 이상도 되지 않는다.,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,6
167,Cheek Pouch,ほおぶくろ,볼주머니,"The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.",나무열매를 먹으면 추가로 HP를 회복한다.,"Restores HP upon eating a Berry, in addition to the Berry's effect.",6
168,Protean,へんげんじざい,변환자재,Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.,배틀에 나올 때마다 단 한 번 자신이 사용한 기술과 같은 타입으로 변화한다.,Changes the bearer's type to match each move it uses.  The type change takes place just before the move is used.,6
169,Fur Coat,ファーコート,퍼코트,Halves the damage taken from physical moves.,상대로부터 받는 물리 기술의 데미지가 절반이 된다.,Halves damage from physical attacks.,6
170,Magician,マジシャン,매지션,The Pokémon steals the held item from any target it hits with a move.,기술을 맞은 상대의 도구를 빼앗아 버린다.,Steals the target's held item when the bearer uses a damaging move.,6
171,Bulletproof,ぼうだん,방탄,Protects the Pokémon from ball and bomb moves.,상대의 구슬이나 폭탄 등의 기술을 막을 수 있다.,"Protects against bullet, ball, and bomb-based moves.",6
172,Competitive,かちき,승기,Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon.,상대에 의해 능력이 떨어지면 특수공격이 크게 올라간다.,Raises Special Attack by two stages upon having any stat lowered.,6
173,Strong Jaw,がんじょうあご,옹골찬턱,The Pokémon's strong jaw boosts the power of its biting moves.,턱이 튼튼하여 무는 기술의 위력이 올라간다.,Strengthens biting moves to 1.5× their power.,6
174,Refrigerate,フリーズスキン,프리즈스킨,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,노말타입의 기술이 얼음타입이 된다. 위력이 조금 올라간다.,Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.,6
175,Sweet Veil,スイートベール,스위트베일,Prevents the Pokémon and its allies from falling asleep.,자신과 같은 편의 포켓몬이 잠들지 않게 된다.,Prevents friendly Pokémon from sleeping.,6
176,Stance Change,バトルスイッチ,배틀스위치,The Pokémon changes its form to Blade Forme when it uses an attack move and changes to Shield Forme when it uses King's Shield.,공격 기술을 쓰면 블레이드폼으로 기술 킹실드를 쓰면 실드폼으로 변한다.,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.",6
177,Gale Wings,はやてのつばさ,질풍날개,Gives priority to the Pokémon's Flying-type moves while its HP is full.,HP가 꽉 찼을 때 비행타입의 기술을 먼저 쓸 수 있다.,Raises flying moves' priority by one stage.,6
178,Mega Launcher,メガランチャー,메가런처,Powers up pulse moves.,파동 기술의 위력이 올라간다.,Strengthens aura and pulse moves to 1.5× their power.,6
179,Grass Pelt,くさのけがわ,풀모피,Boosts the Pokémon's Defense stat on Grassy Terrain.,그래스필드일 때 방어가 올라간다.,Boosts Defense while grassy terrain is in effect.,6
180,Symbiosis,きょうせい,공생,The Pokémon passes its held item to an ally that has used up an item.,같은 편이 도구를 쓰면 자신이 지니고 있는 도구를 같은 편에게 건넨다.,Passes the bearer's held item to an ally when the ally uses up its item.,6
181,Tough Claws,かたいツメ,단단한발톱,Powers up moves that make direct contact.,상대에게 접촉하는 기술의 위력이 올라간다.,Strengthens moves that make contact to 1.33× their power.,6
182,Pixilate,フェアリースキン,페어리스킨,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,노말타입의 기술이 페어리타입이 된다. 위력이 조금 올라간다.,Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.,6
183,Gooey,ぬめぬめ,미끈미끈,Contact with the Pokémon lowers the attacker's Speed stat.,공격으로 자신에게 접촉한 상대의 스피드를 떨어뜨린다.,Lowers attacking Pokémon's Speed by one stage on contact.,6
184,Aerilate,スカイスキン,스카이스킨,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,노말타입의 기술이 비행타입이 된다. 위력이 조금 올라간다.,Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.,6
185,Parental Bond,おやこあい,부자유친,The parent and child attack one after the other.,부모와 자식 2마리로 2번 공격할 수 있다.,Lets the bearer hit twice with damaging moves.  The second hit has half power.,6
186,Dark Aura,ダークオーラ,다크오라,Powers up the Dark-type moves of all Pokémon on the field.,전원의 악타입 기술이 강해진다.,Strengthens dark moves for all friendly and opposing Pokémon.,6
187,Fairy Aura,フェアリーオーラ,페어리오라,Powers up the Fairy-type moves of all Pokémon on the field.,전원의 페어리타입 기술이 강해진다.,Strengthens fairy moves for all friendly and opposing Pokémon.,6
188,Aura Break,オーラブレイク,오라브레이크,"The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",오라의 효과를 역전시켜 위력을 떨어뜨린다.,"While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.",6
189,Primordial Sea,はじまりのうみ,시작의바다,The Pokémon changes the weather to nullify Fire-type attacks.,불꽃타입의 공격을 받지 않는 날씨로 만든다.,"When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.  Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.  air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.",6
190,Desolate Land,おわりのだいち,끝의대지,The Pokémon changes the weather to nullify Water-type attacks.,물타입의 공격을 받지 않는 날씨로 만든다.,"When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.  Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.  air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.",6
191,Delta Stream,デルタストリーム,델타스트림,The Pokémon changes the weather so that no moves are supereffective against the Flying type.,비행타입의 약점이 없어지는 날씨로 만든다.,"When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.  The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.  air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.",6
192,Stamina,じきゅうりょく,지구력,Boosts the Defense stat when the Pokémon is hit by an attack.,공격을 받으면 방어가 올라간다.,Raises this Pokémon's Defense by one stage when it takes damage from a move.,7
193,Wimp Out,にげごし,도망태세,The Pokémon cowardly switches out when its HP drops to half or less.,HP가 절반이 되면 황급히 도망쳐서 지닌 포켓몬으로 돌아간다.,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",7
194,Emergency Exit,ききかいひ,위기회피,"The Pokémon, sensing danger, switches out when its HP drops to half or less.",HP가 절반이 되면 위험을 회피하기 위해 지닌 포켓몬으로 돌아간다.,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",7
195,Water Compaction,みずがため,꾸덕꾸덕굳기,Boosts the Defense stat sharply when the Pokémon is hit by a Water-type move.,물타입의 기술로 공격받으면 방어가 크게 올라간다.,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,7
196,Merciless,ひとでなし,무도한행동,The Pokémon's attacks become critical hits if the target is poisoned.,독 상태의 상대를 공격하면 반드시 급소에 맞는다.,This Pokémon's moves critical hit against poisoned targets.,7
197,Shields Down,リミットシールド,리밋실드,"When its HP drops to half or less, the Pokémon's shell breaks and it becomes aggressive.",HP가 절반이 되면 껍질이 깨져 공격적으로 된다.,"When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).  This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.",7
198,Stakeout,はりこみ,잠복,Doubles the damage dealt to a target that has just switched into battle.,교체로 나온 상대에게 2배 데미지로 공격할 수 있다.,This Pokémon's moves have double power against Pokémon that switched in this turn.,7
199,Water Bubble,すいほう,수포,Lowers the power of Fire-type moves that hit the Pokémon and prevents it from being burned.,자신을 향하는 불꽃타입 기술의 위력을 떨어뜨린다. 화상을 입지 않는다.,"When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.",7
200,Steelworker,はがねつかい,강철술사,Powers up Steel-type moves.,강철타입 기술의 위력이 올라간다.,This Pokémon's Steel moves have 1.5× power.,7
201,Berserk,ぎゃくじょう,발끈,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to drop to half or less.,상대의 공격으로 HP가 절반이 되면 특수공격이 올라간다.,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.",7
202,Slush Rush,ゆきかき,눈치우기,Boosts the Pokémon's Speed stat in snow.,날씨가 눈일 때 스피드가 올라간다.,"During Hail/Snowstorm, this Pokémon has double Speed.",7
203,Long Reach,えんかく,원격,The Pokémon uses its moves without making contact with the target.,모든 기술을 상대에게 접촉하지 않고 사용할 수 있다.,A move used by this Pokémon will not make contact.,7
204,Liquid Voice,うるおいボイス,촉촉보이스,Sound-based moves become Water-type moves.,모든 소리 기술이 물타입이 된다.,"When this Pokémon uses a move that is sound-based, that move's type is Water.",7
205,Triage,ヒーリングシフト,힐링시프트,Gives priority to the Pokémon's healing moves.,회복 기술을 먼저 사용할 수 있다.,This Pokémon's healing moves have their priority increased by 3.,7
206,Galvanize,エレキスキン,일렉트릭스킨,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,노말타입 기술이 전기타입이 된다. 위력이 조금 올라간다.,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.",7
207,Surge Surfer,サーフテール,서핑테일,Doubles the Pokémon's Speed stat on Electric Terrain.,일렉트릭필드일 때 스피드가 2배가 된다.,Doubles this Pokémon's Speed on Electric Terrain.,7
208,Schooling,ぎょぐん,어군,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.",HP가 많을 때 무리 지어 강해진다. HP가 얼마 남지 않으면 무리는 뿔뿔이 흩어진다.,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.  This ability cannot be replaced, copied, or nullified.",7
209,Disguise,ばけのかわ,탈,"Once per battle, the shroud that covers the Pokémon can protect it from an attack at the cost of 10% of its HP.",몸을 덮는 탈로 1번 공격을 막을 수 있다.,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.  This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.",7
210,Battle Bond,きずなへんげ,유대변화,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted.","상대를 쓰러뜨리면 트레이너와의 유대감이 깊어져서 자신의 공격, 특수공격, 스피드가 올라간다.",Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.  This ability cannot be copied or replaced.  This ability only takes effect for Greninja.,7
211,Power Construct,スワームチェンジ,스웜체인지,"Cells gather to aid the Pokémon when its HP drops to half or less, causing it to change into its Complete Forme.",HP가 절반이 되면 셀들이 응원하러 달려와 퍼펙트폼으로 모습이 변한다.,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.  This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.,7
212,Corrosion,ふしょく,부식,The Pokémon can poison the target even if it's a Steel- or Poison-type.,강철타입이나 독타입 포켓몬도 독 상태로 만들 수 있다.,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,7
213,Comatose,ぜったいねむり,절대안깸,The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state.,항상 비몽사몽 상태로 절대 깨지 않는다. 잠든 상태로 공격할 수 있다.,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,7
214,Queenly Majesty,じょおうのいげん,여왕의위엄,The Pokémon's majesty pressures opponents and makes them unable to use priority moves against the Pokémon or its allies.,상대에게 위압감을 줘서 이쪽을 향한 선제 기술을 사용할 수 없게 한다.,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",7
215,Innards Out,とびだすなかみ,내용물분출,"When the Pokémon is knocked out, it damages its attacker by the amount equal to the HP it had left before it was hit.",상대에게 쓰러졌을 때 남아 있던 HP의 양만큼 상대에게 데미지를 준다.,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.",7
216,Dancer,おどりこ,무희,"Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself.",누군가 춤 기술을 쓰면 자신도 이어서 춤 기술을 쓸 수 있다.,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.",7
217,Battery,バッテリー,배터리,Powers up ally Pokémon's special moves.,같은 편 특수 기술의 위력을 올린다.,Ally Pokémon's moves have their power increased to 1.3×.,7
218,Fluffy,もふもふ,복슬복슬,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",상대로부터 받은 접촉하는 기술의 데미지를 반감시키지만 불꽃타입 기술의 데미지는 2배가 된다.,Damage from contact moves is halved.  Damage from Fire moves is doubled.,7
219,Dazzling,ビビッドボディ,비비드바디,"The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies.",상대를 놀라게 해서 이쪽을 향한 선제 기술을 사용할 수 없게 한다.,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",7
220,Soul-Heart,ソウルハート,소울하트,Boosts the Pokémon's Sp. Atk stat every time another Pokémon faints.,포켓몬이 기절할 때마다 특수공격이 올라간다.,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,7
221,Tangling Hair,カーリーヘアー,컬리헤어,Contact with the Pokémon lowers the attacker's Speed stat.,공격으로 자신에게 접촉한 상대의 스피드를 떨어뜨린다.,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.",7
222,Receiver,レシーバー,리시버,The Pokémon copies the Ability of a defeated ally.,쓰러진 같은 편의 특성을 이어받아 같은 특성이 된다.,"When an ally faints, this Pokémon gains its Ability.",7
223,Power of Alchemy,かがくのちから,화학의힘,The Pokémon copies the Ability of a defeated ally.,쓰러진 같은 편의 특성을 이어받아 같은 특성으로 바뀐다.,"When an ally faints, this Pokémon gains its Ability.",7
224,Beast Boost,ビーストブースト,비스트부스트,Boosts the Pokémon's most proficient stat every time it knocks out a target.,상대를 기절시켰을 때 자신의 가장 높은 능력이 올라간다.,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,7
225,RKS System,ＡＲシステム,AR시스템,Changes the Pokémon's type to match the memory disc it holds.,지니고 있는 메모리로 자신의 타입이 변한다.,"Changes this Pokémon's type to match its held Memory.  This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.",7
226,Electric Surge,エレキメイカー,일렉트릭메이커,Turns the ground into Electric Terrain when the Pokémon enters a battle.,등장했을 때 일렉트릭필드를 사용한다.,"When this Pokémon enters battle, it changes the terrain to electric terrain.",7
227,Psychic Surge,サイコメイカー,사이코메이커,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,등장했을 때 사이코필드를 사용한다.,"When this Pokémon enters battle, it changes the terrain to psychic terrain.",7
228,Misty Surge,ミストメイカー,미스트메이커,Turns the ground into Misty Terrain when the Pokémon enters a battle.,등장했을 때 미스트필드를 사용한다.,"When this Pokémon enters battle, it changes the terrain to misty terrain.",7
229,Grassy Surge,グラスメイカー,그래스메이커,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,등장했을 때 그래스필드를 사용한다.,"When this Pokémon enters battle, it changes the terrain to grassy terrain.",7
230,Full Metal Body,メタルプロテクト,메탈프로텍트,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,상대 기술이나 특성으로 능력이 떨어지지 않는다.,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.  This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",7
231,Shadow Shield,ファントムガード,스펙터가드,Reduces the amount of damage the Pokémon takes while its HP is full.,HP가 꽉 찼을 때 받는 데미지가 줄어든다.,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.  This ability cannot be nullified.",7
232,Prism Armor,プリズムアーマー,프리즘아머,Reduces the power of supereffective attacks that hit the Pokémon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.,"Super-effective damage this Pokémon takes is reduced to 0.75×.  This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",7
233,Neuroforce,ブレインフォース,브레인포스,Powers up the Pokémon's supereffective attacks even further.,효과가 굉장한 공격의 위력이 더욱 올라간다.,Increases super-effective damage dealt to 1.25×.,7
234,Intrepid Sword,ふとうのけん,불요의검,Boosts the Pokémon's Attack stat when the Pokémon enters a battle for the first time.,처음 등장했을 때 공격이 올라간다.,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.,8
235,Dauntless Shield,ふくつのたて,불굴의방패,Boosts the Pokémon's Defense stat when the Pokémon enters a battle for the first time.,처음 등장했을 때 방어가 올라간다.,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.,8
236,Libero,リベロ,리베로,Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle.,배틀에 나올 때마다 단 한 번 자신이 사용한 기술과 같은 타입으로 변화한다.,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.,8
237,Ball Fetch,たまひろい,볼줍기,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",도구를 지니고 있지 않은 경우 첫 번째로 던져서 실패한 몬스터볼을 주워 온다.,"At any time after the first Poké Ball is thrown and fails to catch a Pokémon, at the end of a turn, if a Pokémon with Ball Fetch is on the field and not holding another item, it will pick up the same type of ball as the first one thrown.",8
238,Cotton Down,わたげ,솜털,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself.",공격을 받으면 솜털을 흩뿌려서 자신을 제외한 모든 포켓몬의 스피드를 떨어뜨린다.,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself.",8
239,Propeller Tail,スクリューおびれ,스크루지느러미,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,상대의 기술을 끌어모으는 특성이나 기술의 영향을 받지 않는다.,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,8
240,Mirror Armor,ミラーアーマー,미러아머,Bounces back only the stat-lowering effects that the Pokémon receives.,자신이 받는 능력 다운 효과에 한해 되받아친다.,Bounces back only the stat-lowering effects that the Pokémon receives.,8
241,Gulp Missile,うのミサイル,그대로꿀꺽미사일,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",파도타기나 다이빙을 쓰면 먹이를 물어 온다. 데미지를 받으면 먹이를 토해 내서 공격한다.,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",8
242,Stalwart,すじがねいり,굳건한신념,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,상대의 기술을 끌어모으는 특성이나 기술의 영향을 받지 않는다.,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,8
243,Steam Engine,じょうききかん,증기기관,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.,물타입이나 불꽃타입 기술로 공격받으면 스피드가 매우 크게 올라간다.,Raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.,8
244,Punk Rock,パンクロック,펑크록,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,소리 기술의 위력이 올라간다. 상대로부터 받는 소리 기술의 데미지는 절반이 된다.,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,8
245,Sand Spit,すなはき,모래뿜기,The Pokémon creates a sandstorm when it's hit by an attack.,공격을 받으면 모래바람을 일으킨다.,The Pokémon creates a sandstorm when it’s hit by an attack.,8
246,Ice Scales,こおりのりんぷん,얼음인분,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",얼음인분의 보호를 받아 특수공격으로 받는 데미지가 절반이 된다.,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",8
247,Ripen,じゅくせい,숙성,Ripens Berries and doubles their effect.,나무열매를 숙성시켜서 효과를 2배로 만든다.,Ripens Berries and doubles their effect.,8
248,Ice Face,アイスフェイス,아이스페이스,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it snows.",물리공격을 머리의 얼음이 대신 맞아 주지만 모습도 바뀐다. 얼음은 눈이 내리면 원래대로 돌아온다.,"When an Eiscue that's in its Ice Face form is hit by a physical move, it takes no damage and changes into its Noice Face form. If a hailstorm or snowstorm begins while Eiscue is in its Noice Face form, or if it is sent out in its Noice Face form during hail, it will immediately revert to its Ice Face form.",8
249,Power Spot,パワースポット,파워스폿,Just being next to the Pokémon powers up moves.,옆에 있기만 해도 기술의 위력이 올라간다.," ""The power of moves used by the allies of the Pokémon with Power Spot is increased by 30%.""",8
250,Mimicry,ぎたい,의태,Changes the Pokémon's type depending on the terrain.,필드의 상태에 따라 포켓몬의 타입이 바뀐다.,Changes the Pokémon’s type depending on the terrain.,8
251,Screen Cleaner,バリアフリー,배리어프리,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","등장했을 때 상대와 같은 편의 빛의장막, 리플렉터, 오로라베일의 효과가 사라진다.","When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.",8
252,Steely Spirit,はがねのせいしん,강철정신,Powers up the Steel-type moves of the Pokémon and its allies.,같은 편의 강철타입 공격의 위력이 올라간다.,Powers up the Steel-type moves of the Pokémon and its allies.,8
253,Perish Body,ほろびのボディ,멸망의바디,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",접촉하는 기술로 공격받으면 3턴 후에 양쪽 모두 기절한다. 교체되면 효과가 없어진다.,"When the Pokémon with Perish Body is hit with a contact move, both the attacker and the Pokémon with Perish Body will faint in three turns.",8
